epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,291.445,0.97591,1.08043,1.23684,1.18437,0.41175,0.49479,0.43188,0.23909,0.41175,0.49479,0.4307,0.17138,1.56815,1.23723,1.92775,1.55359,0.00240076,0.00240076,0.00240076
116,293.792,0.97703,0.88037,1.25377,1.21942,0.45359,0.47059,0.42431,0.24726,0.45359,0.47059,0.42431,0.16899,1.52918,1.26017,1.82036,1.57503,0.0023341,0.0023341,0.0023341
117,296.16,0.87809,0.89129,1.17118,1.15111,0.57114,0.35294,0.41247,0.26946,0.57114,0.35294,0.43931,0.20898,1.54292,1.29307,1.83593,1.65716,0.00226744,0.00226744,0.00226744
118,298.567,0.96598,0.99487,1.26078,1.22275,0.56316,0.41176,0.49323,0.28725,0.56316,0.41176,0.48774,0.20377,1.47616,1.30671,1.79224,1.60536,0.00220078,0.00220078,0.00220078
119,300.765,0.96051,0.9337,1.25356,1.21432,0.67948,0.47059,0.53493,0.29669,0.59591,0.41176,0.48119,0.17878,1.52903,1.29174,1.63027,1.60742,0.00213412,0.00213412,0.00213412
120,302.952,1.02574,0.96767,1.38567,1.25978,0.54059,0.55457,0.55093,0.27847,0.44437,0.52941,0.50016,0.16762,1.64955,1.31537,1.66074,1.75561,0.00206746,0.00206746,0.00206746
121,305.231,0.96616,0.91714,1.23917,1.18417,0.74398,0.51383,0.57507,0.2945,0.64022,0.47059,0.51588,0.16792,1.56349,1.3221,1.64576,1.65918,0.0020008,0.0020008,0.0020008
122,307.539,1.00496,0.89645,1.32029,1.25775,0.5707,0.52941,0.56604,0.29334,0.56858,0.47059,0.52674,0.21201,1.54445,1.26687,1.73191,1.61483,0.00193414,0.00193414,0.00193414
123,309.938,0.98645,0.98251,1.21372,1.17649,0.46154,0.52941,0.54208,0.29839,0.49906,0.46893,0.51673,0.20721,1.50349,1.23214,1.75767,1.56993,0.00186748,0.00186748,0.00186748
124,312.221,0.87495,0.95831,1.08304,1.18052,0.6,0.52941,0.57879,0.30463,0.52802,0.64706,0.59045,0.21661,1.4827,1.20715,1.75468,1.56668,0.00180082,0.00180082,0.00180082
